name,slug,description,assets,facets,optionGroups,optionValues,sku,price,taxCategory,stockOnHand,trackInventory,variantAssets,variantFacets
Boot A,boot-a,Boot A Size 40,,category:sports equipment,shoe size,Size 40,BA40,100,standard,100,true,,
Boot B,boot-b,Boot B Size 40,,category:sports equipment,shoe size,Size 40,BB40,100,standard,100,true,,
Boot C,boot-c,Boot C Size 40,,category:sports equipment,shoe size,Size 40,BC40,100,standard,100,true,,
Sneaker A,sneaker-a,Sneaker A Size 40,,category:sports equipment,shoe size,Size 40,SA40,99.99,standard,100,true,,
,,Sneaker A Size 41,,,,Size 41,SA41,99.99,standard,100,true,,
,,Sneaker A Size 42,,,,Size 42,SA42,99.99,standard,100,true,,
,,Sneaker A Size 43,,,,Size 43,SA43,99.99,standard,100,true,,
Sneaker B,sneaker-b,Sneaker B Size 40,,category:sports equipment,shoe size,Size 40,SB40,99.99,standard,100,true,,
,,Sneaker B Size 41,,,,Size 41,SB41,99.99,standard,100,true,,
,,Sneaker B Size 42,,,,Size 42,SB42,99.99,standard,100,true,,
,,Sneaker B Size 43,,,,Size 43,SB43,99.99,standard,100,true,,
Sneaker C,sneaker-c,Sneaker C Size 40,,category:sports equipment,shoe size,Size 40,SC40,99.99,standard,100,true,,
,,Sneaker C Size 41,,,,Size 41,SC41,99.99,standard,100,true,,
,,Sneaker C Size 42,,,,Size 42,SC42,99.99,standard,100,true,,
,,Sneaker C Size 43,,,,Size 43,SC43,99.99,standard,100,true,,